

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 5; fitness: 47.247729623858255; player life: 0; enemy life: 40.0; time: 856

RUN: run status: enemy: 5; fitness: 84.99065075683264; player life: 16.000000000000227; enemy life: 0; time: 742

RUN: run status: enemy: 5; fitness: 84.60173194588461; player life: 13.00000000000023; enemy life: 0; time: 811

RUN: run status: enemy: 5; fitness: 47.340706080316366; player life: 0; enemy life: 40.0; time: 780

RUN: run status: enemy: 5; fitness: 83.39265687473463; player life: 1.6000000000002341; enemy life: 0; time: 869

RUN: run status: enemy: 5; fitness: 74.25829930534795; player life: 0; enemy life: 10.0; time: 847

RUN: run status: enemy: 5; fitness: 85.06302763711034; player life: 15.400000000000228; enemy life: 0; time: 650

RUN: run status: enemy: 5; fitness: 74.22921057609102; player life: 0; enemy life: 10.0; time: 872

RUN: run status: enemy: 5; fitness: 38.294360905139996; player life: 0; enemy life: 50.0; time: 817

RUN: run status: enemy: 5; fitness: 56.260663372642824; player life: 0; enemy life: 30.0; time: 845

RUN: run status: enemy: 5; fitness: 84.80259702202554; player life: 14.200000000000228; enemy life: 0; time: 748

RUN: run status: enemy: 5; fitness: 84.61040073082106; player life: 13.00000000000023; enemy life: 0; time: 804

RUN: run status: enemy: 5; fitness: 48.452244721017884; player life: 13.600000000000229; enemy life: 40.0; time: 1000

RUN: run status: enemy: 5; fitness: 56.46330840240869; player life: 0; enemy life: 30.0; time: 690

RUN: run status: enemy: 5; fitness: 83.86589126118618; player life: 7.000000000000233; enemy life: 0; time: 929

RUN: run status: enemy: 5; fitness: 83.88423107801577; player life: 6.400000000000233; enemy life: 0; time: 859

RUN: run status: enemy: 5; fitness: 74.25476365051564; player life: 0; enemy life: 10.0; time: 850

RUN: run status: enemy: 5; fitness: 38.24889853106324; player life: 0; enemy life: 50.0; time: 855

RUN: run status: enemy: 5; fitness: 11.24889853106324; player life: 0; enemy life: 80.0; time: 855

RUN: run status: enemy: 5; fitness: 74.26303304199814; player life: 0; enemy life: 10.0; time: 843

RUN: run status: enemy: 5; fitness: 56.32796705453893; player life: 0; enemy life: 30.0; time: 790

RUN: run status: enemy: 5; fitness: 38.17671387764431; player life: 0; enemy life: 50.0; time: 919

RUN: run status: enemy: 5; fitness: 86.29269413745881; player life: 27.400000000000254; enemy life: 0; time: 631

RUN: run status: enemy: 5; fitness: 65.43224472101788; player life: 3.4000000000002344; enemy life: 20.0; time: 1000

RUN: run status: enemy: 5; fitness: 38.24539590051204; player life: 0; enemy life: 50.0; time: 858

RUN: run status: enemy: 5; fitness: 56.34327347582161; player life: 0; enemy life: 30.0; time: 778

RUN: run status: enemy: 5; fitness: 74.39876988127112; player life: 0; enemy life: 10.0; time: 736

RUN: run status: enemy: 5; fitness: 74.09826279334342; player life: 0; enemy life: 10.0; time: 994

RUN: run status: enemy: 5; fitness: 56.21554293736236; player life: 0; enemy life: 30.0; time: 884

RUN: run status: enemy: 5; fitness: 47.29313766339725; player life: 0; enemy life: 40.0; time: 818

RUN: run status: enemy: 5; fitness: 47.228064444160395; player life: 0; enemy life: 40.0; time: 873

RUN: run status: enemy: 5; fitness: 56.14775743094812; player life: 0; enemy life: 30.0; time: 946

RUN: run status: enemy: 5; fitness: 65.24190549557227; player life: 0; enemy life: 20.0; time: 861

RUN: run status: enemy: 5; fitness: 84.19192208858804; player life: 7.600000000000232; enemy life: 0; time: 712

